feature,importance
block_trade_discount_mean_20d,45
announcement_count_10d,37
block_trade_count_20d,24
block_trade_amount_20d,21
dragon_tiger_count_10d,16
has_financial_report_30d,15
dragon_tiger_net_buy_5d,13
block_trade_amount_rank_20d,12
announcement_count_5d,10
announcement_count_3d,5
has_reduction_notice_30d,4
dragon_tiger_net_buy_rank_5d,3
has_dragon_tiger_5d,3
has_large_discount_block_trade_20d,2
has_risk_announcement_5d,1
has_major_event_10d,0
has_announcement_3d,0
institution_net_buy_rank_5d,0
institution_net_buy_5d,0
