field,covered_symbols,latest_available_date,missing_rate,recent_symbol_coverage,recent_20d_avg_symbol_coverage,available_trading_days,is_allowed_for_recent_model,rejection_reason
symbol,300,2026-07-06,0.0,299,292.1,130,True,allowed
trade_date,300,2026-07-06,0.0,299,292.1,130,True,allowed
main_net,300,2026-07-06,0.0,299,292.1,130,True,allowed
small_net,300,2026-07-06,0.0,299,292.1,130,True,allowed
medium_net,300,2026-07-06,0.0,299,292.1,130,True,allowed
mid_net,300,2026-07-06,0.0,299,292.1,130,True,allowed
large_net,300,2026-07-06,0.0,299,292.1,130,True,allowed
super_net,300,2026-07-06,0.0,299,292.1,130,True,allowed
main_net_rate,300,2026-07-06,0.0,299,292.1,130,True,allowed
small_net_rate,300,2026-07-06,0.0,299,292.1,130,True,allowed
medium_net_rate,300,2026-07-06,0.0,299,292.1,130,True,allowed
large_net_rate,300,2026-07-06,0.0,299,292.1,130,True,allowed
super_net_rate,300,2026-07-06,0.0,299,292.1,130,True,allowed
close,300,2026-07-06,0.0,299,292.1,130,True,allowed
pct_change,300,2026-07-06,0.0,299,292.1,130,True,allowed
source,300,2026-07-06,0.0,299,292.1,130,True,allowed
raw_update_time,300,2026-07-06,1.0,299,292.1,130,True,allowed
fetched_at,300,2026-07-06,0.0,299,292.1,130,True,allowed
